"taxonID","description","type","language"
"alien-plants-belgium:taxon:0005624db3a63ca28d63626bbe47e520","vagrant","origin","en"
"alien-plants-belgium:taxon:0005624db3a63ca28d63626bbe47e520","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:0005624db3a63ca28d63626bbe47e520","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:0046a7ee2325ad057382bd9fd726cef9","vagrant","origin","en"
"alien-plants-belgium:taxon:0046a7ee2325ad057382bd9fd726cef9","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:0046a7ee2325ad057382bd9fd726cef9","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:004f8d63026942a6baf80b67b6d40b98","vagrant","origin","en"
"alien-plants-belgium:taxon:004f8d63026942a6baf80b67b6d40b98","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:004f8d63026942a6baf80b67b6d40b98","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:0057c474d19804c969845b5697f69148","introduced","origin","en"
"alien-plants-belgium:taxon:0057c474d19804c969845b5697f69148","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:0057c474d19804c969845b5697f69148","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:0063fb918750e3db0f1bb551cd9587c5","vagrant","origin","en"
"alien-plants-belgium:taxon:0063fb918750e3db0f1bb551cd9587c5","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:0063fb918750e3db0f1bb551cd9587c5","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:0068d529c19ee42ce7ea09fc427d82e4","vagrant","origin","en"
"alien-plants-belgium:taxon:0068d529c19ee42ce7ea09fc427d82e4","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:0068d529c19ee42ce7ea09fc427d82e4","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:0082238f42c319a14b46e966082002a4","vagrant","origin","en"
"alien-plants-belgium:taxon:0082238f42c319a14b46e966082002a4","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:0082238f42c319a14b46e966082002a4","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:0082238f42c319a14b46e966082002a4","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:008e914a35deab07270b333c73bfba14","introduced","origin","en"
"alien-plants-belgium:taxon:008e914a35deab07270b333c73bfba14","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:008e914a35deab07270b333c73bfba14","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:00bff53bc6ed2a1d60d89bc060abba2f","vagrant","origin","en"
"alien-plants-belgium:taxon:00bff53bc6ed2a1d60d89bc060abba2f","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:00bff53bc6ed2a1d60d89bc060abba2f","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:00ce4f8f7604b251e5ac5d6c20f6e5b2","vagrant","origin","en"
"alien-plants-belgium:taxon:00ce4f8f7604b251e5ac5d6c20f6e5b2","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:00ce4f8f7604b251e5ac5d6c20f6e5b2","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:00ce4f8f7604b251e5ac5d6c20f6e5b2","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:00ce4f8f7604b251e5ac5d6c20f6e5b2","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:00e1cbd43999c2415d7a5b8b68878c64","vagrant","origin","en"
"alien-plants-belgium:taxon:00e1cbd43999c2415d7a5b8b68878c64","Australasia (WGSRPD:5)","native range","en"
"alien-plants-belgium:taxon:00e1cbd43999c2415d7a5b8b68878c64","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:00ef3485a5cb14b9f0c01e1bed289897","vagrant","origin","en"
"alien-plants-belgium:taxon:00ef3485a5cb14b9f0c01e1bed289897","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:00ef3485a5cb14b9f0c01e1bed289897","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:013e021016ae1a6385b1468645c286ff","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:013e021016ae1a6385b1468645c286ff","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:015d3a5ea74185002c94c3e5c68de810","vagrant","origin","en"
"alien-plants-belgium:taxon:015d3a5ea74185002c94c3e5c68de810","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:015d3a5ea74185002c94c3e5c68de810","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:01669964adcde8cac0e8e73d1a0dc839","vagrant","origin","en"
"alien-plants-belgium:taxon:01669964adcde8cac0e8e73d1a0dc839","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:01669964adcde8cac0e8e73d1a0dc839","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:01eaf97bc1c8dc8b3ee1e665abad0e7d","vagrant","origin","en"
"alien-plants-belgium:taxon:01eaf97bc1c8dc8b3ee1e665abad0e7d","pan-American","native range","en"
"alien-plants-belgium:taxon:01eaf97bc1c8dc8b3ee1e665abad0e7d","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:021c9fb8e77a6931dee90dba2e496fef","vagrant","origin","en"
"alien-plants-belgium:taxon:021c9fb8e77a6931dee90dba2e496fef","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:021c9fb8e77a6931dee90dba2e496fef","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:021c9fb8e77a6931dee90dba2e496fef","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:021c9fb8e77a6931dee90dba2e496fef","cbd_2014_pathway:escape_horticulture","pathway","en"
